word,target_appearances,correct_positions,incorrect_positions,position_accuracy,position_accuracy_percent
he,367,354,13,0.9645776566757494,96.46%
i,197,167,30,0.8477157360406091,84.77%
is,167,57,110,0.3413173652694611,34.13%
not,124,17,107,0.13709677419354838,13.71%
you,121,21,100,0.17355371900826447,17.36%
to,68,1,67,0.014705882352941176,1.47%
every,67,0,67,0.0,0.00%
after,64,0,64,0.0,0.00%
before,61,1,60,0.01639344262295082,1.64%
during,60,0,60,0.0,0.00%
she,60,58,2,0.9666666666666667,96.67%
do,58,12,46,0.20689655172413793,20.69%
my,55,18,37,0.32727272727272727,32.73%
can,54,25,29,0.46296296296296297,46.30%
it,54,15,39,0.2777777777777778,27.78%
have,45,10,35,0.2222222222222222,22.22%
will,42,30,12,0.7142857142857143,71.43%
are,40,11,29,0.275,27.50%
your,39,13,26,0.3333333333333333,33.33%
in,38,4,34,0.10526315789473684,10.53%
of,38,7,31,0.18421052631578946,18.42%
me,36,5,31,0.1388888888888889,13.89%
what,35,8,27,0.22857142857142856,22.86%
morning,34,0,34,0.0,0.00%
school,33,0,33,0.0,0.00%
this,33,5,28,0.15151515151515152,15.15%
dinner,32,0,32,0.0,0.00%
evening,32,1,31,0.03125,3.12%
am,31,23,8,0.7419354838709677,74.19%
breakfast,31,2,29,0.06451612903225806,6.45%
was,31,10,21,0.3225806451612903,32.26%
him,30,7,23,0.23333333333333334,23.33%
lunchtime,30,1,29,0.03333333333333333,3.33%
sunset,30,0,30,0.0,0.00%
weekends,30,0,30,0.0,0.00%
for,28,6,22,0.21428571428571427,21.43%
we,26,10,16,0.38461538461538464,38.46%
that,22,1,21,0.045454545454545456,4.55%
all,21,1,20,0.047619047619047616,4.76%
her,21,6,15,0.2857142857142857,28.57%
stop,20,13,7,0.65,65.00%
does,19,7,12,0.3684210526315789,36.84%
did,18,1,17,0.05555555555555555,5.56%
like,18,7,11,0.3888888888888889,38.89%
there,18,3,15,0.16666666666666666,16.67%
please,17,3,14,0.17647058823529413,17.65%
be,16,4,12,0.25,25.00%
has,16,6,10,0.375,37.50%
his,16,0,16,0.0,0.00%
on,15,5,10,0.3333333333333333,33.33%
they,15,5,10,0.3333333333333333,33.33%
very,15,5,10,0.3333333333333333,33.33%
with,15,1,14,0.06666666666666667,6.67%
up,14,2,12,0.14285714285714285,14.29%
and,13,3,10,0.23076923076923078,23.08%
at,13,6,7,0.46153846153846156,46.15%
go,13,3,10,0.23076923076923078,23.08%
how,13,0,13,0.0,0.00%
know,13,2,11,0.15384615384615385,15.38%
think,13,2,11,0.15384615384615385,15.38%
friends,12,0,12,0.0,0.00%
us,12,4,8,0.3333333333333333,33.33%
why,12,1,11,0.08333333333333333,8.33%
called,11,0,11,0.0,0.00%
from,11,3,8,0.2727272727272727,27.27%
never,11,3,8,0.2727272727272727,27.27%
spanish,11,1,10,0.09090909090909091,9.09%
than,11,4,7,0.36363636363636365,36.36%
clothes,10,1,9,0.1,10.00%
french,10,5,5,0.5,50.00%
out,10,4,6,0.4,40.00%
planted,10,0,10,0.0,0.00%
time,10,1,9,0.1,10.00%
where,10,0,10,0.0,0.00%
baked,9,0,9,0.0,0.00%
birds,9,0,9,0.0,0.00%
cannot,9,3,6,0.3333333333333333,33.33%
cookies,9,2,7,0.2222222222222222,22.22%
flowers,9,1,8,0.1111111111111111,11.11%
get,9,1,8,0.1111111111111111,11.11%
helped,9,1,8,0.1111111111111111,11.11%
learned,9,0,9,0.0,0.00%
